cluster_id,category,rank,token,score_or_count
0,暴力色情,1,dating,1176
0,暴力色情,2,国产,1077
0,暴力色情,3,av,1019
0,暴力色情,4,罗莉,947
0,暴力色情,5,出兽,735
0,暴力色情,6,无码,550
0,暴力色情,7,城人,522
0,暴力色情,8,成人,486
0,暴力色情,9,少妇,479
0,暴力色情,10,幼女,450
0,暴力色情,11,九电偷,438
0,暴力色情,12,青城 电影 私聊,438
0,暴力色情,13,偷拍,436
0,暴力色情,14,sex,361
0,暴力色情,15,guy,352
0,暴力色情,16,萝莉,313
0,暴力色情,17,燕照,266
0,暴力色情,18,pictures,245
0,暴力色情,19,profile page,227
0,暴力色情,20,lonely,203
1,广告营销,1,开发票,1910
1,广告营销,2,发票,1117
1,广告营销,3,普通,1019
1,广告营销,4,开票,851
1,广告营销,5,专用发票,822
1,广告营销,6,代开,526
1,广告营销,7,普通发票,477
1,广告营销,8,设计费,467
1,广告营销,9,服务费,461
1,广告营销,10,广告费,460
1,广告营销,11,报消,455
1,广告营销,12,材料费,452
1,广告营销,13,劳务费,444
1,广告营销,14,培训费,437
1,广告营销,15,增值,384
1,广告营销,16,优惠,320
1,广告营销,17,电微,232
1,广告营销,18,电微 同步,228
1,广告营销,19,中国 招标 采购 导航网,223
1,广告营销,20,点数,213
2,钓鱼邮件,1,account,604
2,钓鱼邮件,2,登陆,396
2,钓鱼邮件,3,登录,394
2,钓鱼邮件,4,security,370
2,钓鱼邮件,5,confirm,334
2,钓鱼邮件,6,帐户,292
2,钓鱼邮件,7,mailbox,276
2,钓鱼邮件,8,upgrade mail,223
2,钓鱼邮件,9,click below,221
2,钓鱼邮件,10,email server,210
2,钓鱼邮件,11,administrator,205
2,钓鱼邮件,12,verify,203
2,钓鱼邮件,13,subject,198
2,钓鱼邮件,14,update,180
2,钓鱼邮件,15,dhl express,124
2,钓鱼邮件,16,收件箱,122
2,钓鱼邮件,17,pending incoming,119
2,钓鱼邮件,18,suspended,116
2,钓鱼邮件,19,admin notification,108
2,钓鱼邮件,20,incoming mails,106
3,赌博博彩,1,特邀,537
3,赌博博彩,2,领取,492
3,赌博博彩,3,葡京,443
3,赌博博彩,4,次次,437
3,赌博博彩,5,bbin,419
3,赌博博彩,6,mg,419
3,赌博博彩,7,pt,412
3,赌博博彩,8,上限,378
3,赌博博彩,9,晋级,375
3,赌博博彩,10,百款,374
3,赌博博彩,11,打码,371
3,赌博博彩,12,企鹅,158
3,赌博博彩,13,领彩,154
3,赌博博彩,14,百家乐,73
3,赌博博彩,15,彩金,34
3,赌博博彩,16,黑庄,15
3,赌博博彩,17,棋牌,13
3,赌博博彩,18,必中,11
3,赌博博彩,19,肖码,10
3,赌博博彩,20,永久 免费,9
4,学术会议/期刊营销,1,research,940
4,学术会议/期刊营销,2,journal,937
4,学术会议/期刊营销,3,international,859
4,学术会议/期刊营销,4,conference,853
4,学术会议/期刊营销,5,会议,750
4,学术会议/期刊营销,6,ei,743
4,学术会议/期刊营销,7,检索,720
4,学术会议/期刊营销,8,sci,678
4,学术会议/期刊营销,9,投稿,677
4,学术会议/期刊营销,10,submit,649
4,学术会议/期刊营销,11,期刊,628
4,学术会议/期刊营销,12,papers,599
4,学术会议/期刊营销,13,science,558
4,学术会议/期刊营销,14,issn,492
4,学术会议/期刊营销,15,论文,480
4,学术会议/期刊营销,16,国际 会议,463
4,学术会议/期刊营销,17,cpci,458
4,学术会议/期刊营销,18,call,434
4,学术会议/期刊营销,19,sci 发表,431
4,学术会议/期刊营销,20,录用,392
