record_id,cluster_id,category
dpGmBt8VjH,2,钓鱼邮件
lE6W8h9Gr3,1,广告营销
8YuyAcvGWK,1,广告营销
yiXauxDofm,4,学术会议/期刊营销
nhwAO17XYf,0,暴力色情
UKTiR1jYxS,2,钓鱼邮件
eNzY6xEwjA,1,广告营销
ObmuifxL02,0,暴力色情
eYUn2rHx8O,0,暴力色情
TRJyMV0pto,1,广告营销
1fmkeoEbDS,0,暴力色情
7ifOLVKPCB,3,赌博博彩
d4W5zUhAaH,4,学术会议/期刊营销
x7bFmczNrE,4,学术会议/期刊营销
4qcyUK7ReM,0,暴力色情
PU0pYCIA1E,3,赌博博彩
hziodZ7T8X,1,广告营销
8oi2x7UbQK,0,暴力色情
iYRuZQ74zM,2,钓鱼邮件
oUgAzQBY9V,2,钓鱼邮件
YWiKS29Nch,0,暴力色情
28YEJMFZcL,0,暴力色情
YoCH6gDdfv,1,广告营销
TPZvxaiSq0,1,广告营销
9CRbs36dqW,0,暴力色情
rdkhtYnK81,1,广告营销
w8fcL3npEi,2,钓鱼邮件
wvBI04o7R3,1,广告营销
yrvE95xFL4,2,钓鱼邮件
sTBfeY9MA8,1,广告营销
OlbENcdqRh,1,广告营销
6bN5lWthZ0,0,暴力色情
AuUjpNC6Eq,2,钓鱼邮件
R6G5TIikzZ,0,暴力色情
w5GaOn13BS,4,学术会议/期刊营销
alm6kcpPy9,4,学术会议/期刊营销
WBsqPbZy7g,4,学术会议/期刊营销
iTlK2spqkE,4,学术会议/期刊营销
v1jfHVMS8O,2,钓鱼邮件
UbmMsaEknI,1,广告营销
VIJGdiQor2,2,钓鱼邮件
YWvfoBOxiw,0,暴力色情
FW0bUn1Ld3,4,学术会议/期刊营销
lzSLNh6P9o,2,钓鱼邮件
3baUvzh1rW,0,暴力色情
tYJNSaHVf5,2,钓鱼邮件
50BPep9WIg,0,暴力色情
gI4TMx3wrv,1,广告营销
p2j6LvcgT8,4,学术会议/期刊营销
Vsli5CqJQ9,0,暴力色情
yvGPhQ6iVU,0,暴力色情
E3ZqUr2B9L,3,赌博博彩
o417QpcIJB,1,广告营销
JUxBQHCfra,1,广告营销
7dEDIyNMiF,2,钓鱼邮件
TOsDM3Fjni,4,学术会议/期刊营销
m9CO1AIT5n,0,暴力色情
QnJ1dcWFuf,1,广告营销
HolePhbLzK,4,学术会议/期刊营销
DKPO3ep5mg,0,暴力色情
8OyFkc7mI2,1,广告营销
JhbEqRzCvt,2,钓鱼邮件
