cluster_id,category,rank,token,score_or_count
0,暴力色情,1,dating,1176
0,暴力色情,2,国产,1077
0,暴力色情,3,av,1019
0,暴力色情,4,罗莉,947
0,暴力色情,5,出兽,735
0,暴力色情,6,无码,550
0,暴力色情,7,城人,522
0,暴力色情,8,成人,486
0,暴力色情,9,少妇,479
0,暴力色情,10,幼女,450
0,暴力色情,11,九电偷,438
0,暴力色情,12,青城 电影 私聊,438
0,暴力色情,13,偷拍,436
0,暴力色情,14,sex,361
0,暴力色情,15,guy,352
0,暴力色情,16,萝莉,313
0,暴力色情,17,燕照,266
0,暴力色情,18,pictures,245
0,暴力色情,19,profile page,227
0,暴力色情,20,lonely,203
1,发票营销,1,开发票,1910
1,发票营销,2,发票,1116
1,发票营销,3,普通,1019
1,发票营销,4,开票,855
1,发票营销,5,专用发票,822
1,发票营销,6,代开,521
1,发票营销,7,验证 付款,481
1,发票营销,8,普通发票,477
1,发票营销,9,设计费,467
1,发票营销,10,服务费,461
1,发票营销,11,广告费,460
1,发票营销,12,报消,455
1,发票营销,13,材料费,453
1,发票营销,14,劳务费,444
1,发票营销,15,培训费,438
1,发票营销,16,增值,383
1,发票营销,17,李姐,247
1,发票营销,18,电微,232
1,发票营销,19,李小姐,231
1,发票营销,20,电微 同步,228
2,商业广告,1,领取,571
2,商业广告,2,葡京,443
2,商业广告,3,bbin,420
2,商业广告,4,百款,374
2,商业广告,5,打码,371
2,商业广告,6,有存,348
2,商业广告,7,电子游戏,311
2,商业广告,8,满壹千送,270
2,商业广告,9,红包,170
2,商业广告,10,特邀 链接,159
2,商业广告,11,领彩,154
2,商业广告,12,双十,117
2,商业广告,13,manufacturer,97
2,商业广告,14,课程,93
2,商业广告,15,supplier,93
2,商业广告,16,professional manufacturer,91
2,商业广告,17,预售,87
2,商业广告,18,展会,86
2,商业广告,19,捕鱼,84
2,商业广告,20,unsubscribe,79
3,钓鱼邮件,1,account,604
3,钓鱼邮件,2,登陆,396
3,钓鱼邮件,3,登录,394
3,钓鱼邮件,4,security,370
3,钓鱼邮件,5,confirm,330
3,钓鱼邮件,6,帐户,292
3,钓鱼邮件,7,mailbox,276
3,钓鱼邮件,8,upgrade mail,223
3,钓鱼邮件,9,click below,221
3,钓鱼邮件,10,email server,210
3,钓鱼邮件,11,administrator,205
3,钓鱼邮件,12,verify,203
3,钓鱼邮件,13,subject,198
3,钓鱼邮件,14,update,180
3,钓鱼邮件,15,dhl express,126
3,钓鱼邮件,16,收件箱,122
3,钓鱼邮件,17,pending incoming,119
3,钓鱼邮件,18,suspended,116
3,钓鱼邮件,19,admin notification,108
3,钓鱼邮件,20,incoming mails,106
4,学术营销,1,research,940
4,学术营销,2,journal,937
4,学术营销,3,international,860
4,学术营销,4,conference,857
4,学术营销,5,会议,748
4,学术营销,6,ei,744
4,学术营销,7,检索,714
4,学术营销,8,sci,678
4,学术营销,9,投稿,677
4,学术营销,10,submit,649
4,学术营销,11,期刊,628
4,学术营销,12,papers,599
4,学术营销,13,science,558
4,学术营销,14,issn,492
4,学术营销,15,论文,480
4,学术营销,16,国际 会议,463
4,学术营销,17,cpci,458
4,学术营销,18,call,434
4,学术营销,19,sci 发表,431
4,学术营销,20,录用,392
