record_id,cluster_id,category
dpGmBt8VjH,3,钓鱼邮件
lE6W8h9Gr3,1,发票营销
8YuyAcvGWK,2,商业广告
yiXauxDofm,4,学术营销
nhwAO17XYf,0,暴力色情
UKTiR1jYxS,3,钓鱼邮件
eNzY6xEwjA,1,发票营销
ObmuifxL02,0,暴力色情
eYUn2rHx8O,0,暴力色情
TRJyMV0pto,1,发票营销
1fmkeoEbDS,0,暴力色情
7ifOLVKPCB,2,商业广告
d4W5zUhAaH,4,学术营销
x7bFmczNrE,3,钓鱼邮件
4qcyUK7ReM,0,暴力色情
PU0pYCIA1E,2,商业广告
hziodZ7T8X,1,发票营销
8oi2x7UbQK,0,暴力色情
iYRuZQ74zM,3,钓鱼邮件
oUgAzQBY9V,3,钓鱼邮件
YWiKS29Nch,0,暴力色情
28YEJMFZcL,0,暴力色情
YoCH6gDdfv,1,发票营销
TPZvxaiSq0,1,发票营销
9CRbs36dqW,0,暴力色情
rdkhtYnK81,2,商业广告
w8fcL3npEi,3,钓鱼邮件
wvBI04o7R3,1,发票营销
yrvE95xFL4,3,钓鱼邮件
sTBfeY9MA8,1,发票营销
OlbENcdqRh,1,发票营销
6bN5lWthZ0,0,暴力色情
AuUjpNC6Eq,3,钓鱼邮件
R6G5TIikzZ,0,暴力色情
w5GaOn13BS,4,学术营销
alm6kcpPy9,4,学术营销
WBsqPbZy7g,4,学术营销
iTlK2spqkE,4,学术营销
v1jfHVMS8O,3,钓鱼邮件
UbmMsaEknI,2,商业广告
VIJGdiQor2,3,钓鱼邮件
YWvfoBOxiw,0,暴力色情
FW0bUn1Ld3,4,学术营销
lzSLNh6P9o,3,钓鱼邮件
3baUvzh1rW,0,暴力色情
tYJNSaHVf5,3,钓鱼邮件
50BPep9WIg,0,暴力色情
gI4TMx3wrv,1,发票营销
p2j6LvcgT8,4,学术营销
Vsli5CqJQ9,3,钓鱼邮件
yvGPhQ6iVU,0,暴力色情
E3ZqUr2B9L,2,商业广告
o417QpcIJB,1,发票营销
JUxBQHCfra,1,发票营销
7dEDIyNMiF,3,钓鱼邮件
TOsDM3Fjni,4,学术营销
m9CO1AIT5n,0,暴力色情
QnJ1dcWFuf,1,发票营销
HolePhbLzK,4,学术营销
DKPO3ep5mg,0,暴力色情
8OyFkc7mI2,1,发票营销
JhbEqRzCvt,3,钓鱼邮件
IxVNeyE1wD,1,发票营销
aNpZW7reXI,0,暴力色情
ERTp8nYfli,4,学术营销
bILOhq7u2T,4,学术营销
1of3QlXjNi,4,学术营销
hSC2HMekQJ,3,钓鱼邮件
1AlSY6UoKg,0,暴力色情
FYtLi0NoPc,1,发票营销
5eJC6kjc0T,0,暴力色情
GcLBJD823w,4,学术营销
IMpek2TlAV,1,发票营销
kswHVCouB8,3,钓鱼邮件
Bb1sD94k78,3,钓鱼邮件
z4iT2LVnth,2,商业广告
T9d6eHJsvh,0,暴力色情
vUxqPkpTCf,0,暴力色情
YTACnvscRJ,1,发票营销
8lMtcGL1gX,4,学术营销
oX2jLStVUM,4,学术营销
y8k6R24BMN,1,发票营销
l9g28bdfk0,2,商业广告
H7SiAwezRK,0,暴力色情
hkcifVzBAQ,2,商业广告
Kt8B0ezNVv,4,学术营销
wgi1KBeE4Z,0,暴力色情
YcB6GjShUH,1,发票营销
IZ8nGqB53M,0,暴力色情
vYXkQ7ydIP,0,暴力色情
zHtNGCP1YW,0,暴力色情
j9EBQbSXwH,1,发票营销
npbG2ezXTP,4,学术营销
3RQ4hM5Sv2,3,钓鱼邮件
ac8pBTHVfL,2,商业广告
WAzcvYmpNI,1,发票营销
2UsCxIlDfR,0,暴力色情
wPCM56I4dl,1,发票营销
dplyE3XGgQ,1,发票营销
1ofBCVjDrw,0,暴力色情
R8dI2aqTgc,4,学术营销
Ouc1Ck5tMK,0,暴力色情
CFqyRVfhEb,0,暴力色情
lVcGFAufmk,4,学术营销
Cp6kT190dv,4,学术营销
VwUAOYTtaF,3,钓鱼邮件
3mZjFHkf7n,4,学术营销
tRMjJ9hZPa,1,发票营销
5GXVuD0FYg,1,发票营销
kBgYpbAha1,0,暴力色情
FfvZnKoV0s,3,钓鱼邮件
PRjLeSDv1I,0,暴力色情
1xpgq8yHJ0,2,商业广告
fpy6L49bXe,4,学术营销
bp7oZf0SCO,0,暴力色情
8FkDdUTVN5,3,钓鱼邮件
mMDb705TVZ,0,暴力色情
usTZPMH2QF,3,钓鱼邮件
LxmXvBrNaG,1,发票营销
MtgpR67bWv,2,商业广告
GTwn8D4xAu,1,发票营销
QgycWuq1Tt,4,学术营销
fvlUaN6RWY,2,商业广告
FRK8vLjQfk,0,暴力色情
JrcmUpFaDM,2,商业广告
k84nT7VRdQ,1,发票营销
aJeGIrU7Ru,0,暴力色情
fMgY6ySWjs,3,钓鱼邮件
A3WkGKvchl,3,钓鱼邮件
2Zk7G3PVAF,1,发票营销
8c1QBpkrux,0,暴力色情
c1BACUGhFO,1,发票营销
Ly2UbJYai6,1,发票营销
sajNtV1Awe,3,钓鱼邮件
SohMyvEpgJ,3,钓鱼邮件
bYU0mHlsGM,1,发票营销
Rn6XmWupvF,0,暴力色情
VZzYc2aC3W,0,暴力色情
v3FXECARrN,1,发票营销
6F7ZNJI0Rv,1,发票营销
qyLxvrwCgE,0,暴力色情
RdMbO942NE,3,钓鱼邮件
Fi4HEJmYuU,2,商业广告
zt4hifUYZe,4,学术营销
KcAbdY0rPw,4,学术营销
g5IN1t3GEl,0,暴力色情
FryBW1X4Vz,0,暴力色情
5NIveR8Ebk,0,暴力色情
WJF6nhDIaX,2,商业广告
0XUwhzG19I,0,暴力色情
ethjcBqHx9,0,暴力色情
pq3yPh9z6t,3,钓鱼邮件
o4PJfcTOKh,2,商业广告
QCfarJPLsA,1,发票营销
NurZCfVmo2,1,发票营销
hBEoXe7bKW,4,学术营销
ESUA5nwurL,0,暴力色情
Ae8qgdsjEN,1,发票营销
ZsI5KPi0Fr,2,商业广告
y3qIPojRkc,0,暴力色情
qzAJldDC2o,1,发票营销
u2UETXM40p,1,发票营销
IRoQ13lYde,0,暴力色情
NWfLwdjHln,4,学术营销
vVFO0Hpi1Z,0,暴力色情
jCsDUovrOF,4,学术营销
Uc97Fdekj4,0,暴力色情
zuo7YKgpDN,1,发票营销
obO0IlTxF6,0,暴力色情
hV8Q3106br,3,钓鱼邮件
wyVXex12ln,0,暴力色情
M6nlpFeSYV,0,暴力色情
UWV6OeSPQX,1,发票营销
kjAP39yoIl,0,暴力色情
uGNFQse36x,3,钓鱼邮件
vLXJuygh9B,0,暴力色情
ypQ8EiOVL9,2,商业广告
rlZE1WsqNo,1,发票营销
3rIBDif7Pd,0,暴力色情
oua274Zfm1,1,发票营销
fXVgqQujkN,4,学术营销
PWQLV9z1cm,3,钓鱼邮件
gYm9ZI30FH,3,钓鱼邮件
ieCzq6bjJr,3,钓鱼邮件
Y3U96KEBaL,3,钓鱼邮件
qKbjHyCtIQ,4,学术营销
wkg7DWdFyT,0,暴力色情
c2Ks1XiVnA,0,暴力色情
XPknLqvwsW,1,发票营销
jg5F9i7pPl,4,学术营销
dFtIrzSECf,4,学术营销
82mIvyqxNJ,0,暴力色情
OEbHkGjCmd,0,暴力色情
KPERZHiCef,1,发票营销
btWoxmNUgP,4,学术营销
sA7Sz3Pqb4,4,学术营销
784NTefPHJ,1,发票营销
aPOyfFCYGN,4,学术营销
RLpcnQ9STH,0,暴力色情
QNAHD1bmVW,0,暴力色情
UN8RbHAekz,0,暴力色情
SAhxTqu78N,3,钓鱼邮件
9Hvez5i1oF,4,学术营销
qs7TpvRWDn,0,暴力色情
ofwA9Qnuy7,0,暴力色情
brtxPNZRVs,3,钓鱼邮件
9BJMSnZO14,1,发票营销
gpZekvIG0C,0,暴力色情
IBGN9mzSDv,0,暴力色情
ZFpAMt7vO6,0,暴力色情
3z6tlP85Eg,0,暴力色情
hjQFuyWHke,0,暴力色情
KZnM64GqP9,0,暴力色情
yY1CK27OAk,3,钓鱼邮件
7DAh9KZYfU,1,发票营销
VPNKS0B62v,1,发票营销
5X48gEZUNC,0,暴力色情
Gm4SIonQyD,3,钓鱼邮件
