cluster_id,rank,token,score
0,1,[URL],0.03400901
0,2,[EMAIL],0.02880469
0,3,[PHONE],0.02240595
0,4,[QQ],0.01637382
0,5,开票,0.01390284
0,6,电子,0.01232496
0,7,com,0.01178538
0,8,email,0.01104226
0,9,dating,0.01089416
0,10,my,0.01061696
0,11,手机,0.01050209
0,12,付款,0.01030623
0,13,sci,0.01017338
0,14,me,0.00958151
0,15,咨询,0.00850854
0,16,journal,0.00823495
0,17,私聊,0.00820262
0,18,检索,0.00815842
0,19,刘琴,0.00786256
0,20,会议,0.00784804
1,1,登记,0.43945961
1,2,否则,0.21976099
1,3,离职,0.21893545
1,4,禁止,0.21886729
1,5,长期,0.2183928
1,6,备案,0.2182186
1,7,及时,0.21602343
1,8,认证,0.21525872
1,9,处理,0.20892623
1,10,通知,0.19072711
1,11,需要,0.18839778
1,12,邮箱,0.18502242
1,13,支持,0.1814687
1,14,服务,0.179598
1,15,将作,0.14361603
1,16,登陆,0.14168631
1,17,serivce,0.14061727
1,18,地址,0.13181485
1,19,[URL],0.10495406
1,20,sevivce,0.10362462
2,1,[WECHAT],0.38034187
2,2,[PHONE],0.36881728
2,3,开发票,0.24473603
2,4,普通,0.12325587
2,5,专用发票,0.11888221
2,6,[EMAIL],0.08895385
2,7,咨询,0.07462972
2,8,von,0.06837566
2,9,发票,0.06679196
2,10,经理,0.05872418
2,11,普通发票,0.05001429
2,12,ist,0.04968208
2,13,eine,0.0486818
2,14,kopie,0.04656525
2,15,via,0.046377
2,16,请加,0.03978276
2,17,小姐,0.03248845
2,18,星期一,0.03213959
2,19,李经理,0.03067871
2,20,代开,0.03066363
3,1,sz,0.47705431
3,2,增值,0.45960228
3,3,提供,0.40681095
3,4,发票,0.38703565
3,5,上海,0.0613305
3,6,有限公司,0.05913161
3,7,超奕,0.04350781
3,8,科技,0.03716971
3,9,企业,0.03240589
3,10,管理,0.02830693
3,11,信息,0.0276683
3,12,优惠,0.02286463
3,13,咨询,0.01974909
3,14,普通,0.01885258
3,15,代开,0.0120295
3,16,rl,0.00400174
3,17,db,0.00356751
3,18,wv,0.00332816
3,19,meta,0.00206658
3,20,rk,0.00200087
4,1,[MONEY],0.17670221
4,2,网盘,0.16752438
4,3,出售,0.15221199
4,4,国产,0.14133934
4,5,详情,0.13218499
4,6,资源,0.1194992
4,7,城人,0.11942492
4,8,[QQ],0.11915251
4,9,av,0.11090461
4,10,韩无马,0.11043659
4,11,罗莉,0.10997865
4,12,高清,0.07736385
4,13,无码,0.07134795
4,14,私聊,0.05566599
4,15,幼女,0.05199523
4,16,精品,0.05071877
4,17,成人,0.04846215
4,18,激情电影,0.04795058
4,19,封号,0.04706697
4,20,和谐,0.0469417
