record_id,cluster_id
dpGmBt8VjH,0
lE6W8h9Gr3,3
8YuyAcvGWK,0
yiXauxDofm,0
nhwAO17XYf,4
UKTiR1jYxS,0
eNzY6xEwjA,2
ObmuifxL02,0
eYUn2rHx8O,4
TRJyMV0pto,0
1fmkeoEbDS,0
7ifOLVKPCB,0
d4W5zUhAaH,0
x7bFmczNrE,0
4qcyUK7ReM,0
PU0pYCIA1E,0
hziodZ7T8X,2
8oi2x7UbQK,0
iYRuZQ74zM,1
oUgAzQBY9V,0
YWiKS29Nch,4
28YEJMFZcL,0
YoCH6gDdfv,2
TPZvxaiSq0,0
9CRbs36dqW,0
rdkhtYnK81,0
w8fcL3npEi,0
wvBI04o7R3,2
yrvE95xFL4,0
sTBfeY9MA8,2
OlbENcdqRh,2
6bN5lWthZ0,4
AuUjpNC6Eq,0
R6G5TIikzZ,0
w5GaOn13BS,0
alm6kcpPy9,0
WBsqPbZy7g,0
iTlK2spqkE,0
v1jfHVMS8O,0
UbmMsaEknI,0
VIJGdiQor2,0
YWvfoBOxiw,0
FW0bUn1Ld3,0
lzSLNh6P9o,0
3baUvzh1rW,4
tYJNSaHVf5,1
50BPep9WIg,4
gI4TMx3wrv,2
p2j6LvcgT8,0
Vsli5CqJQ9,0
yvGPhQ6iVU,0
E3ZqUr2B9L,0
o417QpcIJB,0
JUxBQHCfra,2
7dEDIyNMiF,1
TOsDM3Fjni,0
m9CO1AIT5n,0
QnJ1dcWFuf,2
HolePhbLzK,0
DKPO3ep5mg,0
8OyFkc7mI2,0
JhbEqRzCvt,0
IxVNeyE1wD,3
aNpZW7reXI,0
ERTp8nYfli,0
bILOhq7u2T,0
1of3QlXjNi,0
hSC2HMekQJ,0
1AlSY6UoKg,4
FYtLi0NoPc,0
5eJC6kjc0T,0
GcLBJD823w,0
IMpek2TlAV,0
kswHVCouB8,0
Bb1sD94k78,0
z4iT2LVnth,0
T9d6eHJsvh,4
vUxqPkpTCf,0
YTACnvscRJ,2
8lMtcGL1gX,0
oX2jLStVUM,0
y8k6R24BMN,2
l9g28bdfk0,0
H7SiAwezRK,0
hkcifVzBAQ,0
Kt8B0ezNVv,0
wgi1KBeE4Z,0
YcB6GjShUH,0
IZ8nGqB53M,0
vYXkQ7ydIP,4
zHtNGCP1YW,0
j9EBQbSXwH,2
npbG2ezXTP,0
3RQ4hM5Sv2,0
ac8pBTHVfL,0
WAzcvYmpNI,0
2UsCxIlDfR,0
wPCM56I4dl,0
dplyE3XGgQ,2
1ofBCVjDrw,0
R8dI2aqTgc,0
Ouc1Ck5tMK,0
CFqyRVfhEb,0
lVcGFAufmk,0
Cp6kT190dv,0
VwUAOYTtaF,1
3mZjFHkf7n,0
tRMjJ9hZPa,2
5GXVuD0FYg,2
kBgYpbAha1,4
FfvZnKoV0s,1
PRjLeSDv1I,0
1xpgq8yHJ0,0
fpy6L49bXe,0
bp7oZf0SCO,0
