record_id,cluster_id,cluster_name
dpGmBt8VjH,2,学术会议/期刊营销
lE6W8h9Gr3,5,广告营销(发票/费用)
8YuyAcvGWK,0,学术会议/期刊营销
yiXauxDofm,2,学术会议/期刊营销
nhwAO17XYf,4,暴力色情
UKTiR1jYxS,0,学术会议/期刊营销
eNzY6xEwjA,5,广告营销(发票/费用)
ObmuifxL02,0,学术会议/期刊营销
eYUn2rHx8O,4,暴力色情
TRJyMV0pto,1,待命名簇
1fmkeoEbDS,0,学术会议/期刊营销
7ifOLVKPCB,0,学术会议/期刊营销
d4W5zUhAaH,0,学术会议/期刊营销
x7bFmczNrE,0,学术会议/期刊营销
4qcyUK7ReM,0,学术会议/期刊营销
PU0pYCIA1E,0,学术会议/期刊营销
hziodZ7T8X,5,广告营销(发票/费用)
8oi2x7UbQK,2,学术会议/期刊营销
iYRuZQ74zM,1,待命名簇
oUgAzQBY9V,2,学术会议/期刊营销
YWiKS29Nch,4,暴力色情
28YEJMFZcL,4,暴力色情
YoCH6gDdfv,5,广告营销(发票/费用)
TPZvxaiSq0,5,广告营销(发票/费用)
9CRbs36dqW,0,学术会议/期刊营销
rdkhtYnK81,0,学术会议/期刊营销
w8fcL3npEi,2,学术会议/期刊营销
wvBI04o7R3,5,广告营销(发票/费用)
yrvE95xFL4,2,学术会议/期刊营销
sTBfeY9MA8,5,广告营销(发票/费用)
OlbENcdqRh,5,广告营销(发票/费用)
6bN5lWthZ0,4,暴力色情
AuUjpNC6Eq,2,学术会议/期刊营销
R6G5TIikzZ,5,广告营销(发票/费用)
w5GaOn13BS,0,学术会议/期刊营销
alm6kcpPy9,0,学术会议/期刊营销
WBsqPbZy7g,0,学术会议/期刊营销
iTlK2spqkE,0,学术会议/期刊营销
v1jfHVMS8O,0,学术会议/期刊营销
UbmMsaEknI,0,学术会议/期刊营销
VIJGdiQor2,0,学术会议/期刊营销
YWvfoBOxiw,3,暴力色情
FW0bUn1Ld3,0,学术会议/期刊营销
lzSLNh6P9o,0,学术会议/期刊营销
3baUvzh1rW,4,暴力色情
tYJNSaHVf5,1,待命名簇
50BPep9WIg,4,暴力色情
gI4TMx3wrv,5,广告营销(发票/费用)
p2j6LvcgT8,2,学术会议/期刊营销
Vsli5CqJQ9,2,学术会议/期刊营销
yvGPhQ6iVU,4,暴力色情
E3ZqUr2B9L,0,学术会议/期刊营销
o417QpcIJB,5,广告营销(发票/费用)
JUxBQHCfra,5,广告营销(发票/费用)
7dEDIyNMiF,1,待命名簇
TOsDM3Fjni,2,学术会议/期刊营销
m9CO1AIT5n,4,暴力色情
QnJ1dcWFuf,5,广告营销(发票/费用)
HolePhbLzK,0,学术会议/期刊营销
DKPO3ep5mg,4,暴力色情
8OyFkc7mI2,0,学术会议/期刊营销
JhbEqRzCvt,2,学术会议/期刊营销
IxVNeyE1wD,5,广告营销(发票/费用)
aNpZW7reXI,0,学术会议/期刊营销
ERTp8nYfli,0,学术会议/期刊营销
bILOhq7u2T,2,学术会议/期刊营销
1of3QlXjNi,0,学术会议/期刊营销
hSC2HMekQJ,0,学术会议/期刊营销
1AlSY6UoKg,4,暴力色情
FYtLi0NoPc,0,学术会议/期刊营销
5eJC6kjc0T,3,暴力色情
GcLBJD823w,2,学术会议/期刊营销
IMpek2TlAV,1,待命名簇
kswHVCouB8,2,学术会议/期刊营销
Bb1sD94k78,2,学术会议/期刊营销
z4iT2LVnth,0,学术会议/期刊营销
T9d6eHJsvh,4,暴力色情
vUxqPkpTCf,4,暴力色情
YTACnvscRJ,5,广告营销(发票/费用)
8lMtcGL1gX,2,学术会议/期刊营销
oX2jLStVUM,0,学术会议/期刊营销
y8k6R24BMN,5,广告营销(发票/费用)
l9g28bdfk0,2,学术会议/期刊营销
H7SiAwezRK,2,学术会议/期刊营销
hkcifVzBAQ,0,学术会议/期刊营销
Kt8B0ezNVv,0,学术会议/期刊营销
wgi1KBeE4Z,4,暴力色情
YcB6GjShUH,1,待命名簇
IZ8nGqB53M,4,暴力色情
vYXkQ7ydIP,4,暴力色情
zHtNGCP1YW,3,暴力色情
j9EBQbSXwH,5,广告营销(发票/费用)
npbG2ezXTP,0,学术会议/期刊营销
3RQ4hM5Sv2,0,学术会议/期刊营销
ac8pBTHVfL,0,学术会议/期刊营销
WAzcvYmpNI,5,广告营销(发票/费用)
2UsCxIlDfR,4,暴力色情
wPCM56I4dl,0,学术会议/期刊营销
dplyE3XGgQ,5,广告营销(发票/费用)
1ofBCVjDrw,3,暴力色情
R8dI2aqTgc,0,学术会议/期刊营销
Ouc1Ck5tMK,4,暴力色情
CFqyRVfhEb,4,暴力色情
lVcGFAufmk,0,学术会议/期刊营销
Cp6kT190dv,2,学术会议/期刊营销
VwUAOYTtaF,1,待命名簇
3mZjFHkf7n,2,学术会议/期刊营销
tRMjJ9hZPa,5,广告营销(发票/费用)
5GXVuD0FYg,5,广告营销(发票/费用)
kBgYpbAha1,4,暴力色情
FfvZnKoV0s,1,待命名簇
PRjLeSDv1I,4,暴力色情
1xpgq8yHJ0,0,学术会议/期刊营销
fpy6L49bXe,2,学术会议/期刊营销
bp7oZf0SCO,4,暴力色情
8FkDdUTVN5,1,待命名簇
mMDb705TVZ,4,暴力色情
usTZPMH2QF,2,学术会议/期刊营销
LxmXvBrNaG,1,待命名簇
MtgpR67bWv,2,学术会议/期刊营销
GTwn8D4xAu,5,广告营销(发票/费用)
QgycWuq1Tt,2,学术会议/期刊营销
fvlUaN6RWY,2,学术会议/期刊营销
FRK8vLjQfk,4,暴力色情
JrcmUpFaDM,0,学术会议/期刊营销
k84nT7VRdQ,5,广告营销(发票/费用)
aJeGIrU7Ru,3,暴力色情
fMgY6ySWjs,2,学术会议/期刊营销
A3WkGKvchl,0,学术会议/期刊营销
2Zk7G3PVAF,5,广告营销(发票/费用)
8c1QBpkrux,3,暴力色情
c1BACUGhFO,0,学术会议/期刊营销
Ly2UbJYai6,5,广告营销(发票/费用)
sajNtV1Awe,0,学术会议/期刊营销
SohMyvEpgJ,2,学术会议/期刊营销
bYU0mHlsGM,0,学术会议/期刊营销
Rn6XmWupvF,4,暴力色情
VZzYc2aC3W,2,学术会议/期刊营销
v3FXECARrN,0,学术会议/期刊营销
6F7ZNJI0Rv,5,广告营销(发票/费用)
qyLxvrwCgE,3,暴力色情
RdMbO942NE,0,学术会议/期刊营销
Fi4HEJmYuU,2,学术会议/期刊营销
zt4hifUYZe,2,学术会议/期刊营销
KcAbdY0rPw,0,学术会议/期刊营销
g5IN1t3GEl,3,暴力色情
FryBW1X4Vz,2,学术会议/期刊营销
5NIveR8Ebk,3,暴力色情
WJF6nhDIaX,0,学术会议/期刊营销
0XUwhzG19I,0,学术会议/期刊营销
ethjcBqHx9,3,暴力色情
pq3yPh9z6t,1,待命名簇
o4PJfcTOKh,0,学术会议/期刊营销
QCfarJPLsA,5,广告营销(发票/费用)
NurZCfVmo2,5,广告营销(发票/费用)
hBEoXe7bKW,2,学术会议/期刊营销
ESUA5nwurL,4,暴力色情
Ae8qgdsjEN,0,学术会议/期刊营销
ZsI5KPi0Fr,0,学术会议/期刊营销
y3qIPojRkc,3,暴力色情
qzAJldDC2o,5,广告营销(发票/费用)
u2UETXM40p,1,待命名簇
IRoQ13lYde,0,学术会议/期刊营销
NWfLwdjHln,0,学术会议/期刊营销
vVFO0Hpi1Z,5,广告营销(发票/费用)
jCsDUovrOF,2,学术会议/期刊营销
Uc97Fdekj4,4,暴力色情
zuo7YKgpDN,0,学术会议/期刊营销
obO0IlTxF6,4,暴力色情
hV8Q3106br,2,学术会议/期刊营销
wyVXex12ln,4,暴力色情
M6nlpFeSYV,4,暴力色情
UWV6OeSPQX,5,广告营销(发票/费用)
kjAP39yoIl,2,学术会议/期刊营销
uGNFQse36x,0,学术会议/期刊营销
vLXJuygh9B,3,暴力色情
ypQ8EiOVL9,0,学术会议/期刊营销
rlZE1WsqNo,0,学术会议/期刊营销
3rIBDif7Pd,2,学术会议/期刊营销
oua274Zfm1,5,广告营销(发票/费用)
fXVgqQujkN,0,学术会议/期刊营销
PWQLV9z1cm,0,学术会议/期刊营销
gYm9ZI30FH,2,学术会议/期刊营销
ieCzq6bjJr,0,学术会议/期刊营销
Y3U96KEBaL,0,学术会议/期刊营销
qKbjHyCtIQ,0,学术会议/期刊营销
wkg7DWdFyT,0,学术会议/期刊营销
c2Ks1XiVnA,4,暴力色情
XPknLqvwsW,5,广告营销(发票/费用)
jg5F9i7pPl,0,学术会议/期刊营销
dFtIrzSECf,0,学术会议/期刊营销
82mIvyqxNJ,4,暴力色情
OEbHkGjCmd,3,暴力色情
KPERZHiCef,1,待命名簇
btWoxmNUgP,0,学术会议/期刊营销
sA7Sz3Pqb4,0,学术会议/期刊营销
784NTefPHJ,5,广告营销(发票/费用)
aPOyfFCYGN,2,学术会议/期刊营销
RLpcnQ9STH,3,暴力色情
QNAHD1bmVW,4,暴力色情
UN8RbHAekz,3,暴力色情
SAhxTqu78N,1,待命名簇
9Hvez5i1oF,0,学术会议/期刊营销
qs7TpvRWDn,4,暴力色情
ofwA9Qnuy7,4,暴力色情
brtxPNZRVs,2,学术会议/期刊营销
9BJMSnZO14,1,待命名簇
gpZekvIG0C,0,学术会议/期刊营销
IBGN9mzSDv,3,暴力色情
ZFpAMt7vO6,2,学术会议/期刊营销
3z6tlP85Eg,2,学术会议/期刊营销
hjQFuyWHke,0,学术会议/期刊营销
KZnM64GqP9,4,暴力色情
yY1CK27OAk,0,学术会议/期刊营销
7DAh9KZYfU,0,学术会议/期刊营销
VPNKS0B62v,5,广告营销(发票/费用)
5X48gEZUNC,4,暴力色情
Gm4SIonQyD,0,学术会议/期刊营销
B3WTAOEmeb,0,学术会议/期刊营销
4ywt3vRUIM,2,学术会议/期刊营销
4RkoYsGIui,0,学术会议/期刊营销
NDq2Zt7mdv,0,学术会议/期刊营销
DlcHiI9AWE,4,暴力色情
qvySzET9ax,2,学术会议/期刊营销
hPJoIum4BL,5,广告营销(发票/费用)
MpikcFXgUt,0,学术会议/期刊营销
OgwJ6uY47r,0,学术会议/期刊营销
DJQLWztYVS,2,学术会议/期刊营销
WHDqzQSoMs,1,待命名簇
reduXpas1w,0,学术会议/期刊营销
