record_id,cluster_id
dpGmBt8VjH,4
lE6W8h9Gr3,1
8YuyAcvGWK,1
yiXauxDofm,4
nhwAO17XYf,2
UKTiR1jYxS,1
eNzY6xEwjA,3
ObmuifxL02,1
eYUn2rHx8O,2
TRJyMV0pto,4
1fmkeoEbDS,1
7ifOLVKPCB,1
d4W5zUhAaH,1
x7bFmczNrE,1
4qcyUK7ReM,1
PU0pYCIA1E,1
hziodZ7T8X,3
8oi2x7UbQK,4
iYRuZQ74zM,1
oUgAzQBY9V,4
YWiKS29Nch,2
28YEJMFZcL,2
YoCH6gDdfv,3
TPZvxaiSq0,1
9CRbs36dqW,1
rdkhtYnK81,1
w8fcL3npEi,4
wvBI04o7R3,3
yrvE95xFL4,4
sTBfeY9MA8,3
OlbENcdqRh,3
6bN5lWthZ0,2
AuUjpNC6Eq,4
R6G5TIikzZ,1
w5GaOn13BS,1
alm6kcpPy9,1
WBsqPbZy7g,1
iTlK2spqkE,1
v1jfHVMS8O,1
UbmMsaEknI,1
VIJGdiQor2,1
YWvfoBOxiw,0
FW0bUn1Ld3,1
lzSLNh6P9o,1
3baUvzh1rW,2
tYJNSaHVf5,1
50BPep9WIg,2
gI4TMx3wrv,3
p2j6LvcgT8,4
Vsli5CqJQ9,4
yvGPhQ6iVU,2
E3ZqUr2B9L,1
o417QpcIJB,1
JUxBQHCfra,3
7dEDIyNMiF,1
TOsDM3Fjni,4
m9CO1AIT5n,2
QnJ1dcWFuf,3
HolePhbLzK,1
DKPO3ep5mg,2
8OyFkc7mI2,1
JhbEqRzCvt,4
IxVNeyE1wD,1
aNpZW7reXI,4
ERTp8nYfli,1
bILOhq7u2T,4
1of3QlXjNi,1
hSC2HMekQJ,1
1AlSY6UoKg,2
FYtLi0NoPc,1
5eJC6kjc0T,0
GcLBJD823w,4
IMpek2TlAV,4
kswHVCouB8,4
Bb1sD94k78,4
z4iT2LVnth,1
T9d6eHJsvh,2
vUxqPkpTCf,2
YTACnvscRJ,3
8lMtcGL1gX,4
